"DistributionId","Destination","RouteNumber","PredictedArrival","ScheduledArrival","mu","sigma","nu","tau","ScenarioId"
"82","Downtown","70",13,9,29.6674468660807,0.0753401458315349,-6.45121542484565,1.80825278636581,"2"
"83","Downtown","70",6,-5,21.9664811121603,0.0393968326448482,1.56235720029259,1.52181672766035,"3"
"84","Downtown","70",14,1,31.2582309558906,0.0843261490010142,-1.80199204311454,1.86327153187756,"LANDSCAPE"
"85","Downtown","70",19,13,36.8308164033646,0.120132524800773,-7.50936446978381,2.04719945534255,"4"
"86","Everett","512",11,0,27.4982095155976,0.0639571510760823,-1.22949360758723,1.73115714550196,"2"
"87","Everett","512",15,5,32.422701375284,0.0912493845730606,-3.68674581464045,1.90279239315725,"4"
"88","Everett","512",19,7,36.7554437849034,0.11960279886384,-4.65979637028444,2.04479432214538,"1"
"89","Everett","512",10,2,26.3290502223289,0.0582348888706885,-2.62576368244793,1.688529558876,"2"
"90","Everett","512",16,12,33.0686938812746,0.0952166793720078,-7.81439304110971,1.92445578745102,"3"
"91","Everett","512",15,10,32.0672863558721,0.089105222793326,-6.76087755191377,1.89079508732917,"1"
"92","Everett","512",13,1,30.5122661984977,0.0800447288676484,-2.18662467101282,1.83762401072431,"4"
"93","Everett","512",7,0,23.6182276064914,0.0460666478389817,-1.40141530346481,1.58646536458912,"2"
"94","Everett","512",14,8,31.8002627081001,0.087512292065784,-5.45680541399094,1.88174417964617,"2"
"95","Everett","512",5,-3,20.7205792253123,0.034734109106481,1.01602908020513,1.47167087812047,"4"
"96","Everett","512",17,10,35.0876561274726,0.108201969452737,-6.36317181696286,1.9910259314529,"4"
"97","Everett","512",17,13,34.7256150888095,0.105807869808022,-8.40360782900286,1.97921113999075,"1"
"98","Everett","512",18,16,36.3116307597441,0.116509089185125,-9.87492825976136,2.0305894407297,"1"
"99","Everett","512",17,2,34.0934318861131,0.101696191220315,-2.27346165904059,1.95845395466813,"3"
"100","Everett","512",16,16,33.4676382099119,0.0977120451170822,-10.4120649988445,1.93774437748365,"1"
"101","Everett","512",6,-5,22.5018168465155,0.0414973151685407,1.80911321874251,1.54298961233619,"3"
"102","Everett","512",19,9,36.6845513765289,0.119105706166812,-5.26689190170356,2.0425302331137,"LANDSCAPE"
