"vis","arrival","participant","distribution","scenario","trial","mu","sigma","nu","tau","mode","duration","response","payoff","expected_payoff","optimal_payoff","expected_over_optimal"
"text60",TRUE,"p319","d041","s1",13,27.70492878,0.06499887903,-1.133381372,1.738613155,13,29.342268,7,1218,1185.531505,1186.708678,0.999008035399232
"text60",TRUE,"p319","d097","s1",14,34.72561509,0.1058078698,-8.403607829,1.97921114,18,16.595328,13,1252,1243.292449,1243.292449,1
"text60",TRUE,"p319","d029","s1",15,23.35244931,0.04495561656,-1.420719614,1.576196186,8,19.473294,3,1214,1181.716645,1191.615171,0.991693185651796
"text60",TRUE,"p319","d017","s1",16,36.63424279,0.1187536195,-9.131905157,2.040922398,20,18.355251,15,1282,1251.271991,1251.271991,1
"text60",TRUE,"p319","d025","s1",17,33.90055993,0.100459155,-5.070850322,1.952088586,18,34.342565,13,1266,1209.473994,1213.090366,0.997018876662977
"text60",TRUE,"p319","d030","s1",18,26.64573271,0.05975644848,0.5360266973,1.70015412,12,105.128677,6,1196,1171.681981,1174.543861,0.997563411554879
"text60",TRUE,"p319","d044","s1",19,29.46134633,0.07421559355,-3.031573459,1.801033574,14,13.004549,9,1192,1200.138739,1200.138739,1
"text60",TRUE,"p319","d069","s1",20,37.26055614,0.1231767845,-7.674336723,2.060872536,20,12.765689,15,1366,1237.193856,1237.193856,1
"text60",TRUE,"p319","d022","s1",21,36.53891972,0.1180880303,-7.040457299,2.037873341,20,14.92065,15,1296,1227.918733,1230.836788,0.997629210445731
"text60",TRUE,"p319","d100","s1",22,33.46763821,0.09771204512,-10.412065,1.937744377,17,14.097297,12,1300,1253.04643,1256.055568,0.997604295481297
"text60",TRUE,"p319","d130","s1",23,20.72725787,0.03475826519,-1.114800607,1.471943057,6,7.2216,1,1198,1177.564535,1188.408099,0.990875555283472
"text60",TRUE,"p319","d021","s1",24,25.4861594,0.05428744692,-0.3205061342,1.657295374,10,14.0241,5,1244,1178.558245,1183.620042,0.995723461228785
"text60",TRUE,"p319","d081","s1",25,24.22446143,0.04865541934,-2.029566191,1.609706508,9,8.207762,4,1222,1189.318376,1196.583219,0.993928677182961
"text60",TRUE,"p319","d128","s1",26,31.29011882,0.0845118364,-8.595554029,1.864362043,15,13.749909,10,1228,1235.138598,1240.169239,0.995943585083552
"text60",TRUE,"p319","d033","s1",27,23.00791872,0.04353701092,2.049486667,1.56280973,8,93.952429,3,1214,1175.098309,1181.59984,0.994497687982084
"text60",TRUE,"p319","d098","s1",28,36.31163076,0.1165090892,-9.87492826,2.030589441,19,13.141757,14,1302,1254.704357,1257.039614,0.99814225663695
"text60",TRUE,"p319","d129","s1",29,34.25450162,0.1027354811,-9.448212062,1.963758002,18,8.397487,13,1280,1251.416385,1251.416385,1
"text60",TRUE,"p319","d104","s1",30,27.89593825,0.06596947018,-3.800231235,1.745481492,13,17.085704,7,1274,1201.715209,1206.528479,0.996010645348389
"text60",TRUE,"p319","d079","s1",31,30.40495587,0.07943866535,-1.753161788,1.833912619,15,11.105737,10,1256,1186.486289,1186.486289,1
"text60",TRUE,"p319","d088","s1",32,36.75544378,0.1196027989,-4.65979637,2.044794322,20,15.08801,16,1318,1177.124977,1202.701793,0.978733867240522
"text60",TRUE,"p319","d052","s1",33,21.05019297,0.03593705195,-2.22680319,1.485059559,6,14.298953,2,1220,1191.855748,1195.439959,0.997001764101144
"text60",TRUE,"p319","d091","s1",34,32.06728636,0.08910522279,-6.760877552,1.890795087,16,14.910307,12,1272,1223.421694,1227.983039,0.996285498369982
"text60",TRUE,"p319","d037","s1",35,35.81741481,0.113115163,-2.85970231,2.014683982,20,11.013901,16,1360,1135.433827,1182.203022,0.960438948192775
"text60",TRUE,"p319","d032","s1",36,26.62258794,0.05964453188,0.4747644408,1.699306539,12,122.995477,7,1260,1174.835594,1174.835594,1
"text60",TRUE,"p319","d055","s1",37,33.17488926,0.09587754153,-2.393488506,1.927999732,18,14.302746,13,1350,1172.781229,1186.174649,0.988708728506977
"text60",TRUE,"p319","d062","s1",38,28.58207676,0.06951974463,-4.745893131,1.769990035,13,12.724675,9,226,1210.89023,1210.89023,1
"text60",TRUE,"p319","d026","s1",39,31.82036013,0.08763164697,-2.828698685,1.882426517,16,13.956328,12,1272,1182.204716,1193.699405,0.990370533023764
"interval",TRUE,"p77","d024","s4",0,25.54150761,0.05454209886,-1.997940342,1.659359735,10,69.761405,15,0,89.42534485,400.8649608,0.223080971386312
"interval",TRUE,"p77","d134","s4",1,31.55883877,0.08608533695,-4.936221578,1.873533069,16,29.877927,15,840,449.9352479,449.9352479,1
"interval",TRUE,"p77","d124","s4",2,35.90296668,0.1136988217,-6.579258419,2.017443978,19,18.233197,15,770,682.4854399,682.4854399,1
"interval",TRUE,"p77","d004","s4",3,21.6800549,0.03829699242,0.1246824294,1.510398089,7,21.499766,25,312,253.3894503,453.3894503,0.558878134752224
"interval",TRUE,"p77","d002","s4",4,35.61497086,0.1117404501,-11.36727582,2.008141706,19,10.080012,15,784,727.752687,727.752687,1
